,actual,snap_mean,temp_mean,snap_std,temp_std
ABBV,0.08323956379801345,0.033207720864500606,0.0008675328627428555,0.09771909031630288,0.29801756283729985
ACN,0.12933576511152678,0.03057636066170728,-0.10527931140555194,0.10401859916047004,0.35333436709501664
AEP,0.034856626057349516,0.010845224341565263,0.3697395260566897,0.07888605044164292,0.28897287690535867
AIZ,0.08053877246140217,0.01598050081115097,0.05272995746781244,0.09442401435461424,0.3206329252157021
ALLE,-0.02632534334516934,-0.006927348787901991,-0.08138254922343913,0.10933254262747769,0.37444864086289187
AMAT,0.08572056313272158,0.014361972233366948,-0.3880214492634757,0.28863066349373306,0.683646402375067
AMP,0.12309298772294874,0.027341086815907478,-0.2425854703240569,0.11532914325430181,0.44734703567836315
AMZN,0.22475318836256752,0.00842081849002539,-0.40405889709964027,0.17386437910995023,0.4993744264613063
AVY,0.10083062523542896,0.008595957553644363,-0.1742792332862611,0.10192614698470914,0.3858705661615293
AXP,0.1792880217658639,0.035950939703619865,-0.423023406262045,0.15262571713329326,0.47245862094672697
BDX,-0.03771198403884879,0.01386879171938098,0.05564761209298442,0.1125726332878999,0.30644527129736565
BF-B,-0.005461146989673038,0.0008155835774045397,0.10979117353858475,0.11487388804053769,0.3733988218808893
BMY,0.08090430399495951,0.011025362522492064,0.11202728796753098,0.11056534727167185,0.2923501516660595
BR,0.06807995573384962,-8.823142226604075e-06,0.12343598637860884,0.10699508575126401,0.38377841221773457
CARR,0.039761710080598034,0.019528757652928306,-0.08158432586737788,0.13234671522456756,0.42728358386421117
CDW,0.08093751143529748,0.023928288335543193,-0.21012455114466677,0.12824329287646996,0.41106596728651124
CE,0.073042105182471,0.0003766185828479034,-0.23456301313054428,0.13187191202205528,0.4515285303366206
CHTR,0.011446260168454403,-0.006802277110832665,-0.045347994093002664,0.17225101523874417,0.4109384434479095
CNC,0.00826446280991755,0.0250178624023217,-0.048692892535471745,0.16887140453054553,0.45509499577950707
CNP,0.07655297765422864,0.01844804699214842,0.14778379319258278,0.09763699733300671,0.32488958978948396
COP,-0.0042153014406595135,0.04424272228719454,0.1509404787434142,0.1323805189126684,0.5550754899493926
CTAS,0.15686466759266815,0.013986934942212863,-0.041589319820534335,0.09648490352490016,0.355543684502651
CZR,0.15867317633543943,-0.016376259928965,-0.87603026007522,0.2280095803083734,0.8338553524497497
DG,0.11339766962587206,0.009254473623138677,-0.04529425369748111,0.11607537683109823,0.375019353492703
DPZ,0.012179882830286148,0.015946884708209895,-0.10590911837167759,0.1592001632590331,0.47250108136400887
DXC,0.10051813471502591,0.020811374527026,-0.4571208651091334,0.22543768271405193,0.6813500353026342
EWA,0.10664070949599824,0.0076343217404040205,0.003395107722118453,0.07866629531051537,0.28179911947352265
EWC,0.06726999301788505,0.00920769228277954,0.03756427375050174,0.05164926975016335,0.288868169663312
EWG,0.15088315780744677,-8.438386358780364e-05,-0.3439458488412318,0.07121650110695542,0.29655591147446797
EWH,0.07944217359942285,-0.012846986911443509,-0.16418962224931272,0.09201129106914974,0.2613214206170972
EWJ,0.05758516054927898,-0.003633827589137202,-0.159077112330431,0.07397685189673033,0.2604894997980232
EWL,0.12593993633805423,0.018224207990386012,-0.25096051511067097,0.08213599870222682,0.22399749728041318
EWQ,0.15777479892761392,0.012922370698220761,-0.33842494726672145,0.07995731273113847,0.3264148872979455
EWT,0.05171351941988678,0.009523121472237099,-0.266019820336764,0.21159007203110639,0.3409999222924608
EWU,0.10139331878462321,0.00891415837397906,-0.2581237011033739,0.07036002061755414,0.26318697819371023
EWY,0.07331161584170376,-0.013562809345254709,-0.1327355763137783,0.21048001956553355,0.38207450981237956
EWZ,0.1965124991485594,0.008867542353788564,-0.09174703716007679,0.3283834804403185,0.4938104370148901
FTV,0.05417889454217084,-0.00504641945394248,-0.23858200710429892,0.10886103283107393,0.35543229197838083
GOOG,0.13583312246963564,0.0333509919171496,-0.2254114195485798,0.1415993448295623,0.38823883765128997
GPC,0.0901416425734165,0.012987438246154923,-0.09852240444826449,0.1001036452813624,0.35190865670176935
GSG,-0.07105580088317942,0.0269687179693333,0.20359043413023858,0.12379887274257242,0.40958311890815935
HIG,0.08625517219923462,0.0237740340055563,-0.07806236866077142,0.15488537098101918,0.42823694451912725
HIGH.L,0.024056966897613608,0.000612858222482058,-0.0711042477550324,0.019651069977705226,0.06638043495709314
HST,0.1755941386528752,0.010060891368620543,-0.21960866283549668,0.14717159832290197,0.49914148544116155
HYG,0.013274166036090218,0.0020411026317139896,-0.06005429194679276,0.021842692571979218,0.0765690178938319
IAU,-0.0321475625823453,0.002221056667501018,0.056174935402573366,0.05710843785718906,0.21042401711494937
ICLN,0.10952863659401912,-0.01893332177654898,0.1125285908909467,0.13909771433765813,0.48700498540086806
IEAA.L,-0.008782201405152179,-0.003014810892621098,-0.05887114077793491,0.017151216638437276,0.04984047035694344
IEF,-0.05172491707563964,-0.0001990353794691618,0.0023015234917472408,0.022190237565362113,0.1055985038846106
IEFM.L,0.13319192510239897,0.008689401005667681,-0.10723519841103141,0.07738289226867312,0.31246854403405916
IEMG,0.08888370465414663,-0.0033496199661572894,-0.18072808719504685,0.03828492761466482,0.29674752799695836
IEUS,0.16009818891702254,0.0009072305945046523,-0.37572868504520746,0.07518317495304333,0.3180376037924368
IEVL.L,0.11665903191326898,0.015175761076903703,-0.1642436642971071,0.07262539961189736,0.2783670029501664
IGF,0.09072011553357706,0.006692933452110855,-0.059460005538318594,0.050781503062314284,0.20843860821937188
INDA,0.15579890492782478,0.006656279318279671,-0.17089990207991726,0.21189422113916673,0.30391211255098455
IUMO.L,0.10478899952584175,0.006255636326399892,0.023992039508288387,0.1019023082396052,0.33558031993854986
IUVL.L,0.01909683217254554,0.0026601989621631273,0.009942114795893358,0.07457279843860369,0.27962501857301203
IVV,0.09288839787534786,0.014854238719434597,-0.09778809075704335,0.03649134801313952,0.23876670794226526
IWM,0.07535649013662615,-0.0108454213282043,-0.19271087039036602,0.08134665228525838,0.3336621015372531
IXN,0.12239598361128734,0.013437046203567561,-0.2222165310922225,0.10850861200841645,0.349224796981963
JPEA.L,0.042532717474980775,0.001142792077146404,-0.07486976350184338,0.043984214393102294,0.13370941417853222
JPM,0.05185356923003126,0.008908568395182993,-0.21145387091402446,0.13758827720074004,0.38354716505770875
KR,-0.006585451977401124,0.032073695377089415,0.5445923279900875,0.2321848321942162,0.5632078684489688
LQD,-0.0030621172353456627,-0.001471127242154806,-0.06382263977384574,0.033065831612347676,0.12157060704132325
MCHI,0.058664881407804126,-0.014302253685991395,-0.2472760827253353,0.18050768395143352,0.495949134970186
META,0.24761295140555806,-0.0075066373173213775,-0.20234507107533067,0.23393480533549454,0.6627762168614147
MVEU.L,0.08677727501256904,0.008391948426897482,-0.08363368993106844,0.057710745272519855,0.19312538268940257
OGN,-0.0963181148748159,0.0190962492152589,0.11946929006225307,0.22284249825366997,0.6315287652343082
PG,0.008113712778594406,0.02800339223663808,0.07917591110679897,0.07950953988130462,0.2610302452098826
PPL,0.10596131069877623,0.003479743606068454,0.06011043426771357,0.09521007770518666,0.30460024052789997
PRU,0.14042121289012943,0.02116362801035111,-0.25753859699069676,0.1191006162979851,0.40068249954658175
PYPL,0.30178399743617135,-0.05178163482495691,-0.3352123637381444,0.25741205365847736,0.7427997523025061
RE,0.11836022410678781,0.0221597974484826,-0.24566666256049785,0.14364972290851807,0.39039376621653876
REET,0.07155277664730475,0.009334888158765252,-0.06063974147107631,0.0558818873314191,0.23394114582244138
ROL,0.03327072712637502,0.009182032211336429,0.14042863147727683,0.13214289658793574,0.4268811138838443
ROST,0.09845688567142141,-0.016361744308659765,-0.3927577945077147,0.14471294253578665,0.4805725230767946
SEGA.L,-0.026327747798920664,-0.005535317334963217,-0.05499907065313219,0.05039627605685141,0.11498348616555222
SHY,-0.014247615386463686,-0.0013954141385700068,-0.0013603973494072587,0.006374639784064863,0.0218149728490136
SLV,-0.045147679324894496,-0.005446099770215899,0.013944206699670418,0.10901446113415456,0.4072080004929156
SPMV.L,0.059118365248682636,0.013686208262691575,0.04312159249580363,0.05315548220907467,0.20179241505078935
TLT,-0.0539532899961761,-0.0005930387597638887,0.013172154137109277,0.07227770994556125,0.25456558072511337
UNH,0.05064757839380585,0.019586490761415037,0.028104952623317418,0.09672732681842154,0.3417793972160654
URI,0.17321406945920859,0.008975718899634815,-0.44474346383841507,0.15157283623630893,0.5534428182707036
V,0.19422745578892853,0.004092812410053364,-0.19469295231807318,0.1562696113863846,0.43716520048784036
VRSK,0.15935724336459045,0.013422119605552382,0.19405493992940445,0.10918377286640886,0.309086719433018
VXX,-0.14250614250614246,-0.04623750977637127,0.2612247098614099,0.31115217067995093,1.2696365434843009
WRK,0.13467821782178224,0.023304435361007722,-0.6426681149905964,0.30979816427237133,0.8108233126995211
XLB,0.11542684951096827,0.00792442109222828,-0.06427338373371655,0.06230372060338337,0.2752414018795308
XLC,0.11045498091812855,-0.003903137883455538,-0.16556838588661701,0.059643153267168854,0.30551490362859557
XLE,0.02040983494655224,0.03540993166604256,0.16162149286102792,0.07032774592455124,0.46697192136613974
XLF,0.0649439353406569,0.014933316114224493,-0.20669790979176567,0.052544821568902285,0.3139573535849048
XLI,0.04799191978091777,0.006023513700853004,-0.06299710821538189,0.049401072663938124,0.26465906872744427
XLK,0.12128783902012263,0.02168404212353611,-0.2032595524825031,0.1421067786820626,0.3629906219087098
XLP,0.030420293048364133,0.015487781785768774,0.0014409920421849368,0.04327198446700298,0.1944619372843159
XLU,0.05026819263976123,0.00963007847386746,0.3332750037748046,0.05413728187937807,0.28558009432717635
XLV,0.05480776729314529,0.011288199866284461,0.016839301119299738,0.04584664094300306,0.19741826408769847
XLY,0.1623338896099884,0.010431067758127764,-0.29894226402122165,0.08298866881674723,0.34208085040547287
XOM,-0.04545724924753436,0.03351767782285323,0.3438585456856912,0.1117156893588294,0.4673281309461549
