period,start,end,rps,ir,momentum_sign
1,2022-03-07,2022-04-04,0.16077917199999997,-1.3808574908226392,-0.10000000000000002
2,2022-04-04,2022-05-02,0.15193559333333334,3.570287127161954,-0.20687445099806043
3,2022-05-02,2022-05-31,0.15383231333333333,6.649609937660685,-0.23049450132661048
4,2022-05-31,2022-06-27,0.155439624,0.31072769307100107,-0.2257097171011417
5,2022-06-27,2022-07-25,0.165139536,4.176534454304579,-0.21815070980262982
6,2022-07-25,2022-08-22,0.157932412,2.2014755737492684,-0.21256359152894563
7,2022-08-22,2022-09-19,0.15108994725274724,3.0407521601671883,-0.18635119679680098
8,2022-09-19,2022-10-17,0.1605178989010989,2.6818263759548047,-0.17413621011445474
9,2022-10-17,2022-11-14,0.168391736,-2.040455515965997,-0.15925809942714542
10,2022-11-14,2022-12-12,0.15707925252525257,-0.5734814614690353,-0.1448641395313282
11,2022-12-12,2023-01-09,0.16273730505050504,2.2670368381287322,-0.1280973904668727
12,2023-01-09,2023-02-02,0.18551457171717173,-9.323908382252162,-0.11398981918472803
