period,start,end,rps,ir,momentum_sign,blend
1,2022-03-07,2022-04-04,0.1585002745,-1.2012801627215997,-0.10000000000000002,0.25
2,2022-04-04,2022-05-02,0.1517076140017361,3.7462126418012733,-0.20687445099806043,0.3125
3,2022-05-02,2022-05-31,0.15389181193488885,6.1494053922248515,-0.23049450132661048,0.27
4,2022-05-31,2022-06-27,0.1543415045011111,0.5627757139459996,-0.2257097171011417,0.25833333333333336
5,2022-06-27,2022-07-25,0.16145990800000004,4.109352163757389,-0.21815070980262982,0.25
6,2022-07-25,2022-08-22,0.15578844994984378,2.1845791749826176,-0.21256359152894563,0.30625
7,2022-08-22,2022-09-19,0.15220288935897436,3.249659581439451,-0.18635119679680098,0.31666666666666665
8,2022-09-19,2022-10-17,0.15802602942642854,3.1792687974956744,-0.17413621011445474,0.29500000000000004
9,2022-10-17,2022-11-14,0.16357167974793388,-2.7713176020100314,-0.15925809942714542,0.31363636363636366
10,2022-11-14,2022-12-12,0.1556834175290404,-0.2887344175945774,-0.1448641395313282,0.3625
11,2022-12-12,2023-01-09,0.15825805346213614,2.4959694051998276,-0.1280973904668727,0.36538461538461536
12,2023-01-09,2023-02-02,0.17087673816893426,-9.19591692923746,-0.11398981918472803,0.3821428571428571
