period,start,end,ir,n_active,max_w
1,2022-03-07,2022-04-04,1.4018575470815382,97,0.04272806417435885
2,2022-04-04,2022-05-02,-2.9460752471447362,97,0.038561244248815456
3,2022-05-02,2022-05-31,0.5955366237164125,98,0.04777155069514607
4,2022-05-31,2022-06-27,10.578423510424802,98,0.04692919686773142
5,2022-06-27,2022-07-25,-2.3544436062649,98,0.0452112387775828
6,2022-07-25,2022-08-22,0.5311983169544437,98,0.044136586885970726
7,2022-08-22,2022-09-19,3.013566362556776,98,0.05064257004455028
8,2022-09-19,2022-10-17,5.356750653149129,98,0.06603399684833053
9,2022-10-17,2022-11-14,-7.173843107702035,98,0.054351015490872796
10,2022-11-14,2022-12-12,-3.984262266612573,98,0.05182095617375397
11,2022-12-12,2023-01-09,0.15579344729505787,98,0.04007551255058216
12,2023-01-09,2023-02-02,1.3144451664695016,98,0.04334726511060829
