period,era,start,end,ir,max_w
1,M6,2022-03-07,2022-04-04,1.4016719163758293,0.042725732394168096
2,M6,2022-04-04,2022-05-02,-2.946667163630105,0.03855933933187351
3,M6,2022-05-02,2022-05-31,0.5960168094474068,0.047770135209165475
4,M6,2022-05-31,2022-06-27,10.578340022712045,0.04692947487494523
5,M6,2022-06-27,2022-07-25,-2.3541261775901194,0.045212291733644265
6,M6,2022-07-25,2022-08-22,0.5310992172746168,0.04413736459629501
7,M6,2022-08-22,2022-09-19,3.013550415443171,0.050641943004990544
8,M6,2022-09-19,2022-10-17,5.356282153296818,0.06603437127993432
9,M6,2022-10-17,2022-11-14,-7.173920793772857,0.054351415854303475
10,M6,2022-11-14,2022-12-12,-3.984308184630712,0.05182054144477477
11,M6,2022-12-12,2023-01-09,0.15584555434907543,0.040075958539955325
12,M6,2023-01-09,2023-02-02,1.3145229297153387,0.04334648401649919
13,extended-yr1,2023-02-02,2023-03-02,-4.422929567477478,0.0482952917472763
14,extended-yr1,2023-03-02,2023-03-30,-0.4864138829579652,0.03514513797271846
15,extended-yr1,2023-03-30,2023-04-27,2.934745466085425,0.049421821911898874
16,extended-yr1,2023-04-27,2023-05-25,8.707625086534822,0.05481972851578798
17,extended-yr1,2023-05-25,2023-06-22,7.065838500373368,0.055558467594838616
18,extended-yr1,2023-06-22,2023-07-20,0.36895975557504707,0.055063291496998325
19,extended-yr1,2023-07-20,2023-08-17,-4.66030133114762,0.05755928323715565
20,extended-yr1,2023-08-17,2023-09-14,14.084235629215366,0.04861351313052007
21,extended-yr1,2023-09-14,2023-10-12,5.5703854543330085,0.05323507652163435
22,extended-yr1,2023-10-12,2023-11-09,2.340546469390501,0.05477909862766842
23,extended-yr1,2023-11-09,2023-12-07,-0.10519278062678795,0.04169412751310178
24,extended-yr1,2023-12-07,2024-01-04,-3.638986553885238,0.055077977820351835
25,extended-yr2,2024-01-04,2024-02-01,-1.7191433476365532,0.05900404113427703
26,extended-yr2,2024-02-01,2024-02-29,0.9845494021334817,0.055631648786748464
27,extended-yr2,2024-02-29,2024-03-28,3.9790512355797745,0.08154440642070297
28,extended-yr2,2024-03-28,2024-04-25,7.3856709067931,0.047836237192676524
29,extended-yr2,2024-04-25,2024-05-23,4.685662800770527,0.05939093266324411
30,extended-yr2,2024-05-23,2024-06-20,-8.461730883774822,0.0467285982282627
31,extended-yr2,2024-06-20,2024-07-18,5.890531340373134,0.04367291997083858
32,extended-yr2,2024-07-18,2024-08-15,-3.1630105042666443,0.04624659395863992
33,extended-yr2,2024-08-15,2024-09-12,-0.8257757543560275,0.04117815559564669
34,extended-yr2,2024-09-12,2024-10-10,3.2315056366878356,0.055776193038712604
35,extended-yr2,2024-10-10,2024-11-07,5.792640845737565,0.067464867604344
36,extended-yr2,2024-11-07,2024-12-05,5.731141094467269,0.063005158042669
37,extended-yr3,2024-12-05,2025-01-02,-1.0057421677956748,0.04412284769304341
38,extended-yr3,2025-01-02,2025-01-30,9.527036166475133,0.03921712782061865
39,extended-yr3,2025-01-30,2025-02-27,-6.003438781613956,0.05362263218085428
40,extended-yr3,2025-02-27,2025-03-27,-3.5924217332157404,0.054806618209547936
41,extended-yr3,2025-03-27,2025-04-24,-0.6389896142325336,0.054045535160315315
42,extended-yr3,2025-04-24,2025-05-22,8.54811954924902,0.06586046268647627
43,extended-yr3,2025-05-22,2025-06-19,4.227250165130148,0.05138662763533974
44,extended-yr3,2025-06-19,2025-07-17,5.982029456734008,0.06715468903094224
45,extended-yr3,2025-07-17,2025-08-14,0.9769643285118366,0.05912899633673776
46,extended-yr3,2025-08-14,2025-09-11,5.988694228450543,0.060574541940520595
47,extended-yr3,2025-09-11,2025-10-09,10.212108528447454,0.05956096675892946
48,extended-yr3,2025-10-09,2025-11-06,-0.20867320923200244,0.06927317797607795
