period,start,end,rps,ir
1,2022-01-31,2022-02-28,0.22660189600000002,-3.390314554072883
2,2022-02-28,2022-03-31,0.183577536,0.36402719728923427
3,2022-03-31,2022-04-29,0.158120952,3.9069087292593734
4,2022-04-29,2022-05-31,0.16003184,2.9419235553364915
5,2022-05-31,2022-06-30,0.154476956,3.3078298081489033
6,2022-06-30,2022-07-29,0.14609562,7.439258492226783
7,2022-07-29,2022-08-31,0.17078044799999997,0.5097601008455155
8,2022-08-31,2022-09-30,0.16698974399999997,12.213584113717337
9,2022-09-30,2022-10-31,0.15437152799999998,10.171570942289266
10,2022-10-31,2022-11-30,0.18870137979797977,-1.4015633704020487
11,2022-11-30,2022-12-30,0.17321885050505048,1.4593612893149777
12,2022-12-30,2023-01-31,0.16806014545454548,3.8879548806582664
