period,start,end,rps,ir
1,2022-01-31,2022-02-28,0.148006324,4.0925335422077564
2,2022-02-28,2022-03-31,0.16624243200000002,0.2576495572566379
3,2022-03-31,2022-04-29,0.17355401999999998,1.4569322846734896
4,2022-04-29,2022-05-31,0.19489734000000003,-2.1102073494692672
5,2022-05-31,2022-06-30,0.17767311999999996,-3.089081323930612
6,2022-06-30,2022-07-29,0.224530064,-5.301614434244045
7,2022-07-29,2022-08-31,0.19088256799999997,-0.4801249473429873
8,2022-08-31,2022-09-30,0.17970674799999997,2.8353398598243764
9,2022-09-30,2022-10-31,0.18791377600000003,-4.105952988061669
10,2022-10-31,2022-11-30,0.20373689898989894,-9.827731104771813
11,2022-11-30,2022-12-30,0.19018842626262628,-1.4523511752957812
12,2022-12-30,2023-01-31,0.22061954141414136,-9.206706729880446
