period,label,start,end,rps,ir
1,1st Submission,2022-01-31,2022-02-28,0.16,-1.6347063789446363
2,2nd Submission,2022-02-28,2022-03-31,0.1577282245648,4.278904370722175
3,3rd Submission,2022-03-31,2022-04-29,0.1540778033148,-5.195746217958273
4,4th Submission,2022-04-29,2022-05-31,0.1591625896166,4.8988577329304945
5,5th Submission,2022-05-31,2022-06-30,0.1590142904916,-10.578313836428174
6,6th Submission,2022-06-30,2022-07-29,0.1579406180104,-10.738039170926552
7,7th Submission,2022-07-29,2022-08-31,0.1607761536088,-6.129882330244487
8,8th Submission,2022-08-31,2022-09-30,0.1598925194602,8.077804322328817
9,9th Submission,2022-09-30,2022-10-31,0.158668848,-2.093511311308933
10,10th Submission,2022-10-31,2022-11-30,0.15876985252525255,-3.5141021508480175
11,11th Submission,2022-11-30,2022-12-30,0.1577114808080808,4.591745714069036
12,12th Submission,2022-12-30,2023-01-31,0.16029918989898992,-2.5390586670219997
