period,start,end,rps,ir
1,2022-03-07,2022-04-04,0.15999999999999998,7.207142680478031
2,2022-04-04,2022-05-02,0.15470005788622224,-1.782145905876602
3,2022-05-02,2022-05-30,,0.2973033801456426
4,2022-05-30,2022-06-27,0.16125602733799999,-7.751382428351172
5,2022-06-27,2022-07-25,0.16220509049159998,2.7224048504650606
6,2022-07-25,2022-08-22,0.15556673801039997,0.7039396450195645
7,2022-08-22,2022-09-19,0.1622618599410989,-4.847214495204228
8,2022-09-19,2022-10-17,0.16073978085428575,3.7126909226569578
9,2022-10-17,2022-11-14,0.16046884800000005,-5.2596150888559645
10,2022-11-14,2022-12-12,0.15828904444444444,-5.805857403660435
11,2022-12-12,2023-01-09,0.15890340000000003,3.0316748366593487
12,2023-01-09,2023-02-02,0.16219817979797976,-5.568450482419484
