period,start,end,rps,ir
1,2022-03-07,2022-04-04,0.15999999999999998,3.63587999726541
2,2022-04-04,2022-05-02,0.15470005788622224,-1.6508296200062489
3,2022-05-02,2022-05-31,0.15966365314066666,-0.7032195325816103
4,2022-05-31,2022-06-27,0.16162918961659997,-7.751382428351172
5,2022-06-27,2022-07-25,0.16220509049159998,3.350288219430973
6,2022-07-25,2022-08-22,0.15556673801039997,0.035275831000776574
7,2022-08-22,2022-09-19,0.1622618599410989,-6.1166086323335
8,2022-09-19,2022-10-17,0.16073978085428575,3.5555924469305835
9,2022-10-17,2022-11-14,0.16046884800000005,-6.614760728212026
10,2022-11-14,2022-12-12,0.15828904444444444,-5.503049073298818
11,2022-12-12,2023-01-09,0.15890340000000003,3.972977202946395
12,2023-01-09,2023-02-02,0.16219817979797976,-6.622022820178884
